ods_code,book_online_url,supplier_name
M85020,https://patient.emisaccess.co.uk/account/login,EMIS
F82021,https://patient.emisaccess.co.uk/account/login,EMIS
P85025,https://patient.emisaccess.co.uk/account/login,EMIS
G85004,https://patient.emisaccess.co.uk/account/login,EMIS
G82231,https://patient.emisaccess.co.uk/account/login,EMIS
Y01839,https://patient.emisaccess.co.uk/account/login,EMIS
N83633,https://patient.emisaccess.co.uk/account/login,EMIS
N85021,https://patient.emisaccess.co.uk/account/login,EMIS
Y02816,https://patient.emisaccess.co.uk/account/login,EMIS
F86627,https://patient.emisaccess.co.uk/account/login,EMIS
G81089,https://patient.emisaccess.co.uk/account/login,EMIS
M86038,https://patient.emisaccess.co.uk/account/login,EMIS
H83006,https://patient.emisaccess.co.uk/account/login,EMIS
F85015,https://patient.emisaccess.co.uk/account/login,EMIS
H85065,https://patient.emisaccess.co.uk/account/login,EMIS
F84700,https://patient.emisaccess.co.uk/account/login,EMIS
N83624,https://patient.emisaccess.co.uk/account/login,EMIS
Y02823,https://patient.emisaccess.co.uk/account/login,EMIS
F86701,https://patient.emisaccess.co.uk/account/login,EMIS
Y03656,https://patient.emisaccess.co.uk/account/login,EMIS
E84066,https://patient.emisaccess.co.uk/account/login,EMIS
A89621,https://patient.emisaccess.co.uk/account/login,EMIS
E84601,https://patient.emisaccess.co.uk/account/login,EMIS
H85665,https://patient.emisaccess.co.uk/account/login,EMIS
M91009,https://patient.emisaccess.co.uk/account/login,EMIS
M87620,https://patient.emisaccess.co.uk/account/login,EMIS
G85012,https://patient.emisaccess.co.uk/account/login,EMIS
M85746,https://patient.emisaccess.co.uk/account/login,EMIS
Y01066,https://patient.emisaccess.co.uk/account/login,EMIS
E82129,https://patient.emisaccess.co.uk/account/login,EMIS
M83638,https://patient.emisaccess.co.uk/account/login,EMIS
J82113,https://patient.emisaccess.co.uk/account/login,EMIS
J82220,https://patient.emisaccess.co.uk/account/login,EMIS
M87017,https://patient.emisaccess.co.uk/account/login,EMIS
F86066,https://patient.emisaccess.co.uk/account/login,EMIS
F84013,https://patient.emisaccess.co.uk/account/login,EMIS
M83109,https://patient.emisaccess.co.uk/account/login,EMIS
N84021,https://patient.emisaccess.co.uk/account/login,EMIS
K84013,https://patient.emisaccess.co.uk/account/login,EMIS
A83635,https://patient.emisaccess.co.uk/account/login,EMIS
M83093,https://patient.emisaccess.co.uk/account/login,EMIS
Y02794,https://patient.emisaccess.co.uk/account/login,EMIS
M83129,https://patient.emisaccess.co.uk/account/login,EMIS
E82073,https://patient.emisaccess.co.uk/account/login,EMIS
J82609,https://patient.emisaccess.co.uk/account/login,EMIS
N82014,https://patient.emisaccess.co.uk/account/login,EMIS
M86048,https://patient.emisaccess.co.uk/account/login,EMIS
M84603,https://patient.emisaccess.co.uk/account/login,EMIS
N83003,https://patient.emisaccess.co.uk/account/login,EMIS
M82601,https://patient.emisaccess.co.uk/account/login,EMIS
Y04883,https://patient.emisaccess.co.uk/account/login,EMIS
H83049,https://patient.emisaccess.co.uk/account/login,EMIS
P88015,https://patient.emisaccess.co.uk/account/login,EMIS
E83007,https://patient.emisaccess.co.uk/account/login,EMIS
H84016,https://patient.emisaccess.co.uk/account/login,EMIS
F84093,https://patient.emisaccess.co.uk/account/login,EMIS
J82103,https://patient.emisaccess.co.uk/account/login,EMIS
F86624,https://patient.emisaccess.co.uk/account/login,EMIS
F86679,https://patient.emisaccess.co.uk/account/login,EMIS
P81689,https://patient.emisaccess.co.uk/account/login,EMIS
H83022,https://patient.emisaccess.co.uk/account/login,EMIS
J83038,https://patient.emisaccess.co.uk/account/login,EMIS
G81014,https://patient.emisaccess.co.uk/account/login,EMIS
N83054,https://patient.emisaccess.co.uk/account/login,EMIS
P81083,https://patient.emisaccess.co.uk/account/login,EMIS
K83080,https://patient.emisaccess.co.uk/account/login,EMIS
H84619,https://patient.emisaccess.co.uk/account/login,EMIS
M84070,https://patient.emisaccess.co.uk/account/login,EMIS
N83008,https://patient.emisaccess.co.uk/account/login,EMIS
P92605,https://patient.emisaccess.co.uk/account/login,EMIS
G82093,https://patient.emisaccess.co.uk/account/login,EMIS
P84048,https://patient.emisaccess.co.uk/account/login,EMIS
J82006,https://patient.emisaccess.co.uk/account/login,EMIS
L83016,https://patient.emisaccess.co.uk/account/login,EMIS
N82650,https://patient.emisaccess.co.uk/account/login,EMIS
P86016,https://patient.emisaccess.co.uk/account/login,EMIS
Y02512,https://patient.emisaccess.co.uk/account/login,EMIS
K81078,https://patient.emisaccess.co.uk/account/login,EMIS
P84026,https://patient.emisaccess.co.uk/account/login,EMIS
K83056,https://patient.emisaccess.co.uk/account/login,EMIS
C83035,https://patient.emisaccess.co.uk/account/login,EMIS
G82057,https://patient.emisaccess.co.uk/account/login,EMIS
N82104,https://patient.emisaccess.co.uk/account/login,EMIS
Y02325,https://patient.emisaccess.co.uk/account/login,EMIS
J82049,https://patient.emisaccess.co.uk/account/login,EMIS
E84012,https://patient.emisaccess.co.uk/account/login,EMIS
M85059,https://patient.emisaccess.co.uk/account/login,EMIS
E86010,https://patient.emisaccess.co.uk/account/login,EMIS
H84051,https://patient.emisaccess.co.uk/account/login,EMIS
A85008,https://patient.emisaccess.co.uk/account/login,EMIS
L83655,https://patient.emisaccess.co.uk/account/login,EMIS
Y02117,https://patient.emisaccess.co.uk/account/login,EMIS
G82161,https://patient.emisaccess.co.uk/account/login,EMIS
M85642,https://patient.emisaccess.co.uk/account/login,EMIS
G85057,https://patient.emisaccess.co.uk/account/login,EMIS
F85058,https://patient.emisaccess.co.uk/account/login,EMIS
F82642,https://patient.emisaccess.co.uk/account/login,EMIS
F83061,https://patient.emisaccess.co.uk/account/login,EMIS
H83634,https://patient.emisaccess.co.uk/account/login,EMIS
H83051,https://patient.emisaccess.co.uk/account/login,EMIS
G81026,https://patient.emisaccess.co.uk/account/login,EMIS
K81651,https://patient.emisaccess.co.uk/account/login,EMIS
G82060,https://patient.emisaccess.co.uk/account/login,EMIS
P81622,https://patient.emisaccess.co.uk/account/login,EMIS
B86049,https://patient.emisaccess.co.uk/account/login,EMIS
F86023,https://patient.emisaccess.co.uk/account/login,EMIS
N82022,https://patient.emisaccess.co.uk/account/login,EMIS
G85696,https://patient.emisaccess.co.uk/account/login,EMIS
H84030,https://patient.emisaccess.co.uk/account/login,EMIS
C81055,https://patient.emisaccess.co.uk/account/login,EMIS
K83064,https://patient.emisaccess.co.uk/account/login,EMIS
Y03597,https://patient.emisaccess.co.uk/account/login,EMIS
M84618,https://patient.emisaccess.co.uk/account/login,EMIS
M83016,https://patient.emisaccess.co.uk/account/login,EMIS
B81082,https://patient.emisaccess.co.uk/account/login,EMIS
E84044,https://patient.emisaccess.co.uk/account/login,EMIS
